AverageDiscountedReturn,MeanKL,dLoss,NumTrajs,LossAfter,MaxReturn,ExplainedVariance,MeanKLBefore,AveragePolicyStd,AverageReturn,Perplexity,StdReturn,Iteration,Entropy,MinReturn,LossBefore
70.8384389387,0.00579781666348,0.00576910430513,473,-0.00576910430513,319.86943442,4.21229717773e-12,0.0,1.0,74.6689389374,4.13273135412,56.5063551539,0,1.4189385332,0.0,9.09900776858e-17
71.2954756705,0.324003486015,0.16513752295,469,-0.16513752295,339.812365142,0.177482287899,0.0,0.993900812527,75.3058256551,4.10752505082,58.993411189,1,1.41282066971,0.0,1.21908201467e-16
156.834612689,0.230545085681,0.00791187667985,218,-0.00791187667985,459.864976275,0.184154779227,0.0,0.932815046863,174.181824821,3.85507399177,94.8690928438,2,1.34939020055,0.0,-1.12791141735e-16
140.952870529,0.338472197614,0.15067186277,241,-0.15067186277,529.835339577,0.19018150889,0.0,0.779933978998,156.364024066,3.22325760915,102.876131296,3,1.17039252801,0.0,1.19194662174e-17
303.535831144,0.0788046028535,0.00639586218779,106,-0.00639586218779,989.822838314,-0.0509786468416,0.0,0.664058183046,369.867877342,2.74437407404,145.695679811,4,1.00955302493,159.860905619,-6.37799423779e-17
329.553147444,0.466165512776,0.0998000641905,96,-0.0998000641905,999.897817544,0.514171936836,0.0,0.637884361673,410.570379788,2.63620470179,165.011293415,5,0.969340269843,179.823789064,-3.38814656016e-17
115.010410503,0.316810275147,0.082964575585,289,-0.082964575585,699.899897252,-0.342455423212,0.0,0.736222787026,128.40145559,3.04261099556,120.461484247,6,1.11271602691,0.0,1.06990078437e-16
310.282276523,0.320404792909,0.0548649957078,101,-0.0548649957078,939.687216717,0.148377552906,0.0,0.581806377654,389.809873473,2.40444945896,202.136580392,7,0.877320962158,9.98155320134,2.16464627852e-16
404.896263026,0.367801898072,0.0593052263825,75,-0.0593052263825,949.840055622,0.627331150305,0.0,0.507584813084,526.27468643,2.09771167191,143.697182573,8,0.740847070554,319.8365403,-5.78982825171e-17
407.3142629,0.351871172358,0.00445838496926,74,-0.00445838496926,999.736172333,0.135800253672,0.0,0.489827804437,531.254245685,2.02432672552,146.378500281,9,0.705237164049,0.0,-1.70053132279e-16
432.723393482,0.492099031639,0.0688300823902,69,-0.0688300823902,869.876954052,0.617113760066,0.0,0.486532729732,571.577841178,2.01070906697,118.442067083,10,0.698487429499,0.0,-1.58574642649e-16
350.746272301,0.292871066443,0.083485740975,88,-0.083485740975,999.883991949,0.490575323131,0.0,0.468699350028,446.675127148,1.93700849952,183.062321649,11,0.661144772395,0.0,-3.44752011628e-17
489.517640785,0.311241558746,0.00628947784891,58,-0.00628947784891,999.913166164,-5.02373896754,0.0,0.452127056773,691.749612828,1.86851966357,212.153150265,12,0.62514649361,239.908066491,-1.65700034982e-16
439.103873909,0.294707514961,0.0307042830258,66,-0.0307042830258,999.914719616,0.436442666118,0.0,0.468985667354,601.042173042,1.93819177211,225.437137455,13,0.66175546219,89.914349593,3.23619958803e-17
491.48157017,0.366045209721,0.0274530935586,56,-0.0274530935586,999.902685961,0.402638432192,0.0,0.43222780052,726.054745695,1.78628138333,314.532462622,14,0.580136019504,9.98075407103,-2.18198504181e-16
479.388585351,0.417029905653,0.0609485740011,57,-0.0609485740011,999.902197599,0.428925841196,0.0,0.339609281107,695.92311124,1.40351392418,299.175720372,15,0.338979037812,89.9141683255,1.41412023616e-18
631.375719521,0.351177282109,0.0340734750915,41,-0.0340734750915,999.937795926,0.65969672356,0.0,0.308973667067,993.300699671,1.27690516149,21.7227321752,16,0.24443930764,899.812248481,1.03481062202e-16
236.432932589,0.293927154718,0.0285944107547,132,-0.0285944107547,879.819112393,0.0119871565316,0.0,0.321952225094,296.11769793,1.33054205517,240.592841027,17,0.285586419485,0.0,4.11183539798e-17
379.435971916,0.484776982949,0.0134470104011,77,-0.0134470104011,999.931883621,0.0747623595267,0.0,0.288534036592,515.980128738,1.19243365975,287.903667005,18,0.175996310999,49.9770592597,5.97310965968e-17
551.117027336,0.252633815825,0.0888203651647,48,-0.0888203651647,999.949357507,-1.84010140826,0.0,0.274525958113,848.846535987,1.13454203461,291.685652771,19,0.126229075776,59.9688751698,4.14367557799e-17
620.105141498,0.455851314655,0.0454271638529,41,-0.0454271638529,999.954337287,0.956152499762,0.0,0.282726630926,977.236234191,1.16843321227,143.457245678,20,0.155663716558,69.9329677409,2.84702401375e-16
523.49580138,0.258703360481,0.0392783068868,54,-0.0392783068868,899.797696218,0.879337526119,0.0,0.29236074798,740.377823192,1.20824842989,74.0391220547,21,0.189171732251,579.797096631,4.15969825955e-16
363.830337456,0.492872823063,0.0549637056943,77,-0.0549637056943,999.806511328,0.425589169872,0.0,0.310189980373,510.164216208,1.28193185762,341.040768735,22,0.248368203905,39.984862082,-6.17448941192e-17
161.190003582,0.215539990021,0.000453328061311,208,-0.000453328061311,609.537613212,-0.751805911233,0.0,0.334120097347,183.983016848,1.38082860235,137.587413116,23,0.322683755464,0.0,-1.50706519072e-16
146.605772098,0.419606624223,0.148900214421,226,-0.148900214421,599.761062869,0.396717141799,0.0,0.317136113902,167.883230316,1.31063836145,144.967882479,24,0.270514317335,0.0,1.97477263008e-16
317.15214691,0.34193204526,0.0839088598535,97,-0.0839088598535,899.690464246,0.27027443774,0.0,0.317246051374,403.455868908,1.31109270349,213.613327743,25,0.270860914323,0.0,7.18933055328e-17
414.360883587,0.368935277825,0.0806361765963,68,-0.0806361765963,999.88635973,0.435268291794,0.0,0.306034996535,581.767788492,1.26476042564,310.152663526,26,0.234882717396,9.98149692059,3.57993669042e-17
402.115778951,0.277975376058,0.0508081707384,72,-0.0508081707384,999.819683152,0.428771709635,0.0,0.293829847774,551.501041134,1.21431982467,273.132600037,27,0.194184104954,0.0,8.91255504054e-17
407.970713862,0.439240218469,0.0757809354018,67,-0.0757809354018,999.941542729,0.362670639511,0.0,0.257450633045,599.984193113,1.06397430332,393.652393809,28,0.0620112396149,49.9629625097,1.2521106754e-17
580.841807661,0.405504572247,0.0225124304265,44,-0.0225124304265,999.94937955,0.858490817503,0.0,0.222477893825,911.947210572,0.919441367409,268.547476738,29,-0.0839890027036,59.9544346678,4.99572729846e-17
312.408119678,0.390788848441,0.0744857368227,83,-0.0744857368227,999.969340068,0.634851166108,0.0,0.240501016791,478.507813755,0.99392609279,473.336647717,30,-0.00609242842008,9.98361858151,8.12984912036e-17
381.451373433,0.218692612952,0.0275738352239,78,-0.0275738352239,999.950343626,-7.03702476901,0.0,0.231365673045,508.301301589,0.956172171262,248.407251284,31,-0.0448172866837,0.0,1.72334767666e-16
381.830138013,0.379898358121,0.0497648182188,79,-0.0497648182188,999.941925707,0.876369872734,0.0,0.220040906423,496.926601514,0.909369953165,195.285172487,32,-0.0950032784218,49.9648547441,1.68571959622e-16
436.051132919,0.316509265542,0.0328609748999,65,-0.0328609748999,999.951874872,0.51503924607,0.0,0.218959782431,609.076203206,0.904901958145,283.661953715,33,-0.0999286746922,59.9699495837,4.4572311253e-17
271.629172327,0.391611341437,0.0687316721875,115,-0.0687316721875,999.802717164,-0.851549928633,0.0,0.218577996031,340.145112543,0.903324137517,229.01503985,34,-0.101673833699,9.98252713406,-1.35917544361e-17
357.564774359,0.38494996466,0.134012492593,87,-0.134012492593,999.786763377,0.610372160285,0.0,0.179957832702,455.09799593,0.743717377628,176.280547801,35,-0.296094185097,209.75575952,-3.71770915675e-16
433.821736429,0.457090496442,0.105667417323,68,-0.105667417323,999.974524562,-1.5318164485,0.0,0.208013609569,587.912367084,0.859664366349,212.789929119,36,-0.151213237598,229.797188973,-7.61090697854e-17
405.595837517,0.365556702147,0.0630326689979,72,-0.0630326689979,999.951310906,0.564839625596,0.0,0.25262269903,555.811056854,1.04402174904,280.12563401,37,0.0430803216611,139.792107232,-3.43517028263e-16
399.372579241,0.342437832122,0.0621182269897,74,-0.0621182269897,999.930239142,0.529572966311,0.0,0.254781464995,536.479727732,1.05294334883,239.220191195,38,0.051589431926,9.98176858354,-1.42739037398e-16
462.874759316,0.473113041227,0.0501819862625,62,-0.0501819862625,999.951503732,0.21832273023,0.0,0.237037626742,648.52044347,0.979612832144,243.587100463,39,-0.0205978546183,199.796317103,5.88486314893e-18
